Genera,GS01_1,GS01_2,GS01_3,GS01_4,GS01_5,GS01_6,GS03_1,GS03_2,GS03_3,GS03_4,GS03_5,GS03_6,GS07_1,GS07_2,GS07_3,GS07_4,GS07_5,GS07_6,GS14_1,GS14_2,GS14_3,GS14_4,GS14_5,GS14_6,GS21_1,GS21_2,GS21_3,GS21_4,GS21_5,GS21_6,GS28_1,GS28_2,GS28_3,GS28_4,GS28_5,GS28_6,GS35_1,GS35_2,GS35_3,GS35_4,GS35_5,GS35_6
Lobulomycetales_gen_Incertae_sedis,5,6,3,3,2,1,3,15,3,4,7,14,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Stagonosporopsis,2,1,0,2,7,2,2,0,0,1,4,9,20,16,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beauveria,27,4,4,3,7,0,1,1,2,4,0,10,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Heydenia,0,1,0,0,5,3,0,3,0,0,0,0,1,0,27,1,2,0,0,1,9,1,3,0,2,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Bacillicladium,2,2,7,9,0,1,4,1,14,9,4,1,0,2,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Kernia,1,1,2,11,0,2,0,1,0,0,33,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Rozellomycota_gen_Incertae_sedis,2,0,11,8,10,7,1,0,0,2,8,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Volutella,0,0,0,0,43,2,3,4,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hebeloma,2,1,11,1,0,5,6,8,0,2,8,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Peziza,0,2,0,4,16,27,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tausonia,1,0,2,0,0,38,0,1,1,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Ochroconis,1,1,3,8,5,2,4,0,4,3,1,8,0,1,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pseudocoleophoma,4,4,1,3,5,11,0,2,2,3,0,3,0,0,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Sympoventuriaceae_gen_Incertae_sedis,5,0,1,1,6,3,0,0,2,1,4,6,0,3,2,0,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0
