Genera,Phylum
Glomeraceae_gen_Incertae_sedis,Glomeromycota
Rosettozyma,Basidiomycota
Obliquifusoideum,Ascomycota
Botryosphaeria,Ascomycota
Scleropezicula,Ascomycota
Guizhoumyces,Ascomycota
Calvatia,Basidiomycota
Thyridium,Ascomycota
GS01_phy_Incertae_sedis_gen_Incertae_sedis,GS01_phy_Incertae_sedis
Paraphysoderma,Blastocladiomycota
Pestalotiopsis,Ascomycota
Ophiocordycipitaceae_gen_Incertae_sedis,Ascomycota
GS10_gen_Incertae_sedis,Rozellomycota
Sphaerobolus,Basidiomycota
Parasola,Basidiomycota
Pyrenophora,Ascomycota
Spadicoides,Ascomycota
Xylodon,Basidiomycota
Sagenomella,Ascomycota
Sporobolomyces,Basidiomycota
Eichleriella,Basidiomycota
Iodophanus,Ascomycota
Thyrostroma,Ascomycota
Stylonectria,Ascomycota
Parazalerion,Ascomycota
Liangia,Ascomycota
Battarrea,Basidiomycota
Tilletiopsis,Basidiomycota
Poaceascoma,Ascomycota
Trichophaeopsis,Ascomycota
Halosphaeriaceae_gen_Incertae_sedis,Ascomycota
Lopharia,Basidiomycota
Peniophorella,Basidiomycota
Ochrocladosporium,Ascomycota
Vaginatispora,Ascomycota
Brunneochlamydosporium,Ascomycota
Microdominikia,Glomeromycota
Parasympodiellaceae_gen_Incertae_sedis,Ascomycota
Pleurotaceae_gen_Incertae_sedis,Basidiomycota
Seticyphella,Basidiomycota
Rectifusarium,Ascomycota
Ophiobolus,Ascomycota
Cordycipitaceae_gen_Incertae_sedis,Ascomycota
Leptodiscella,Ascomycota
Kiflimonium,Ascomycota
Candida,Ascomycota
Coltricia,Basidiomycota
GS06_gen_Incertae_sedis,Rozellomycota
Urocystis,Basidiomycota
Junewangia,Ascomycota
Panaeolus,Basidiomycota
Phomatosporaceae_gen_Incertae_sedis,Ascomycota
Helicoma,Ascomycota
Wojnowiciella,Ascomycota
Phylloscypha,Ascomycota
Leptographium,Ascomycota
Paraphaeosphaeria,Ascomycota
Bulleribasidiaceae_gen_Incertae_sedis,Basidiomycota
Sporisorium,Basidiomycota
Neonectria,Ascomycota
Microbotryomycetes_gen_Incertae_sedis,Basidiomycota
Bensingtonia,Basidiomycota
Tranzscheliella,Basidiomycota
Laboulbeniomycetes_gen_Incertae_sedis,Ascomycota
Microascus,Ascomycota
Apiospora,Ascomycota
Nigrospora,Ascomycota
Sordariomycetes_gen_Incertae_sedis,Ascomycota
Rhamphoria,Ascomycota
Naohidea,Basidiomycota
Kurtzmanomyces,Basidiomycota
Conocybe,Basidiomycota
Pholiota,Basidiomycota
Bjerkandera,Basidiomycota
Mucoraceae_gen_Incertae_sedis,Mucoromycota
Taphrina,Ascomycota
Canariomyces,Ascomycota
Kalmanozyma,Basidiomycota
Septoriella,Ascomycota
Circinella,Mucoromycota
Buckleyzyma,Basidiomycota
Trichosporiella,Ascomycota
Gaeumannomyces,Ascomycota
Neptunomyces,Ascomycota
Savoryella,Ascomycota
Septobasidium,Basidiomycota
Neocamarosporium,Ascomycota
Steccherinum,Basidiomycota
Peniophora,Basidiomycota
Chromolaenicola,Ascomycota
Tilachlidiaceae_gen_Incertae_sedis,Ascomycota
Glomerellaceae_gen_Incertae_sedis,Ascomycota
Ganoderma,Basidiomycota
Golubevia,Basidiomycota
Paecilomyces,Ascomycota
Robbauera,Basidiomycota
Limnoperdaceae_gen_Incertae_sedis,Basidiomycota
Testudomyces,Ascomycota
Rhizophlyctidales_gen_Incertae_sedis,Chytridiomycota
Pulvinulaceae_gen_Incertae_sedis,Ascomycota
Apiosordaria,Ascomycota
Arezzomyces,Ascomycota
Basidiobolus,Basidiobolomycota
Meruliopsis,Basidiomycota
Podosphaera,Ascomycota
Laetinaevia,Ascomycota
Tremella,Basidiomycota
Xenopyrenochaetopsis,Ascomycota
Montagnula,Ascomycota
Pyrenopeziza,Ascomycota
Savoryellales_gen_Incertae_sedis,Ascomycota
Forliomyces,Ascomycota
Lasiodiplodia,Ascomycota
Porostereum,Basidiomycota
Clitopilus,Basidiomycota
Zygosporium,Ascomycota
Macroconia,Ascomycota
Rhizophagus,Glomeromycota
Lecythophora,Ascomycota
Sphaerellopsis,Ascomycota
GS05_gen_Incertae_sedis,Rozellomycota
Phlyctochytrium,Chytridiomycota
Oncopodiella,Ascomycota
Spiculogloeales_gen_Incertae_sedis,Basidiomycota
Gamszarea,Ascomycota
Entomortierella,Mortierellomycota
Octospora,Ascomycota
Cryptocline,Ascomycota
Rigidoporus,Basidiomycota
Jaminaea,Basidiomycota
Neopyrenochaeta,Ascomycota
Bolbitiaceae_gen_Incertae_sedis,Basidiomycota
Cryptosphaeria,Ascomycota
Simocybe,Basidiomycota
GS08_gen_Incertae_sedis,Rozellomycota
Irpex,Basidiomycota
Nanoglomus,Glomeromycota
Stephanonectria,Ascomycota
Microsphaeropsidaceae_gen_Incertae_sedis,Ascomycota
Allocanariomyces,Ascomycota
Strelitziana,Ascomycota
Basidiobolales_gen_Incertae_sedis,Basidiobolomycota
Kickxellomycota_gen_Incertae_sedis,Kickxellomycota
Brunneoporus,Basidiomycota
Blastobotrys,Ascomycota
Dothideales_gen_Incertae_sedis,Ascomycota
Microascales_gen_Incertae_sedis,Ascomycota
Deniquelata,Ascomycota
Wardomycopsis,Ascomycota
Stachylidium,Ascomycota
Lichenostigmatales_gen_Incertae_sedis,Ascomycota
Savoryellaceae_gen_Incertae_sedis,Ascomycota
Drechmeria,Ascomycota
Seimatosporium,Ascomycota
Pithya,Ascomycota
Bannoa,Basidiomycota
Ragnhildiana,Ascomycota
Botryosphaeriales_gen_Incertae_sedis,Ascomycota
Ascodesmis,Ascomycota
Monocillium,Ascomycota
Nigrocephalum,Ascomycota
Inopinatum,Ascomycota
Robertozyma,Basidiomycota
Cercophora,Ascomycota
Saccharomycetales_gen_Incertae_sedis,Ascomycota
Flammula,Basidiomycota
Uncobasidium,Basidiomycota
Endosporium,Ascomycota
Cortinarius,Basidiomycota
Oidiodendron,Ascomycota
Delitschiaceae_gen_Incertae_sedis,Ascomycota
Rhinocladiella,Ascomycota
Exobasidium,Basidiomycota
Bezerromyces,Ascomycota
Bimuria,Ascomycota
Paracremonium,Ascomycota
Dichotomopilus,Ascomycota
Laburnicola,Ascomycota
Hyphodontia,Basidiomycota
Stypella,Basidiomycota
Meniscomyces,Basidiomycota
Dactylaria,Ascomycota
Phanerochaete,Basidiomycota
Cyphellophoraceae_gen_Incertae_sedis,Ascomycota
Neovaginatispora,Ascomycota
Hormonema,Ascomycota
Didymocyrtis,Ascomycota
Ascotricha,Ascomycota
Corynespora,Ascomycota
Fasciodontia,Basidiomycota
Gymnoascoideus,Ascomycota
Myceliophthora,Ascomycota
Neodevriesiaceae_gen_Incertae_sedis,Ascomycota
Ustilago,Basidiomycota
