"","MS01_1","MS01_2","MS01_3","MS01_4","MS01_5","MS01_6","MS03_1","MS03_2","MS03_3","MS03_4","MS03_5","MS03_6","MS07_1","MS07_2","MS07_3","MS07_4","MS07_5","MS07_6","MS14_1","MS14_2","MS14_3","MS14_4","MS14_5","MS14_6","MS21_1","MS21_2","MS21_3","MS21_4","MS21_5","MS21_6","MS28_1","MS28_2","MS28_3","MS28_4","MS28_5","MS28_6","MS35_1","MS35_2","MS35_3","MS35_4","MS35_5","MS35_6"
"Striaticonidium",0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0
"Lichtheimia",0,0,174,0,67,0,0,0,0,0,0,59,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pichia",0,0,0,0,0,58,0,0,0,0,357,118,0,67,58,0,0,0,0,0,0,0,0,329,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0
"Agaricus",0,0,0,0,0,0,0,0,0,0,0,1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,620,0,0,0,0,0,0
"Rhodosporidiobolus",0,0,0,0,0,233,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stagonosporopsis",0,0,0,0,0,0,0,261,0,0,143,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0
"Neocucurbitaria",0,0,0,0,0,233,0,0,0,0,0,0,0,0,116,0,0,0,0,0,1369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,0,0,301
"Saccharomyces",0,0,0,0,0,0,0,65,0,0,0,0,151,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,2326,0,0,0,0,0,0
"Podospora",0,0,0,0,0,0,127,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301,1409,251,0,0
"Pyrenochaetopsis",0,0,0,0,0,0,0,0,460,0,0,0,0,0,116,0,0,0,0,411,0,0,0,0,0,0,0,0,0,0,0,809,0,0,0,0,0,0,0,0,0,0
"Samsoniella",0,0,0,191,0,0,0,0,307,0,0,0,0,0,289,0,0,84,1170,11775,1642,367,41488,1316,0,2977,0,141,1619,0,0,15506,0,770,146,0,71,0,0,0,270,301
"Gibellulopsis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,418,0,958,0,0,1334,0,60,784,145,0,540,0,0,0,0,308,0,0,0,0,0,0,0,451
"Phaeococcomyces",0,168,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,451,0,0,0,0
"Cryptococcus",0,0,0,64,0,0,0,0,0,0,0,0,605,133,0,0,0,0,0,0,0,244,0,110,0,0,1591,0,0,0,0,0,0,0,0,1395,0,0,0,0,0,0
"GS11_gen_Incertae_sedis",0,0,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,274,0,0,1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pluteus",87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wickerhamomyces",0,0,0,0,0,0,0,0,0,0,143,0,151,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,377,0,0
"Bipolaris",0,0,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0
"Orbiliaceae_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,0,0,685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudocoleophoma",0,0,0,0,0,58,0,0,0,85,0,0,0,0,0,0,0,0,0,958,0,0,0,0,0,0,0,0,0,313,0,0,0,0,0,310,0,0,0,0,0,0
"Rhizomucor",0,0,0,0,0,0,0,0,0,0,0,59,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sphaerulina",0,84,0,0,0,116,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bradymyces",0,0,0,0,0,58,0,0,383,0,0,0,0,0,0,0,0,0,0,1643,684,0,728,0,0,0,145,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0
"Parapyrenochaeta",0,0,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sympoventuriaceae_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,0,0,118,151,0,0,77,0,84,334,0,0,0,0,0,0,0,0,0,0,0,0,809,0,0,0,0,0,0,0,0,0,0
"Dioszegia",0,0,0,0,0,0,0,0,0,0,0,0,1210,0,174,0,0,0,334,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Inocybe",0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,84,0,1506,137,0,970,0,60,314,0,0,0,0,0,0,0,0,0,0,0,7214,0,1255,0,10521
"Eurotiales_gen_Incertae_sedis",0,0,0,0,0,0,0,0,153,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0
"Sarocladium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,836,4793,411,0,2911,0,0,2507,434,0,5396,0,0,0,0,308,0,310,0,17736,0,252,676,19689
"Trimorphomycetaceae_gen_Incertae_sedis",0,0,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arxiella",0,0,0,0,0,0,0,0,0,169,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillicladium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,483,0,0,0,0,155,71,0,0,0,0,752
"Coprinellus",0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,0,0,601,0,0,135,0
"Rozellomycota_gen_Incertae_sedis",0,0,87,64,0,58,0,0,77,0,0,177,0,0,0,0,0,0,0,1232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,0,142,451,0,503,0,0
"Suillus",0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
