Genera,Phylum
S-BQ2-57_soil_group_genus,Verrucomicrobiota
Clostridia_UCG-014_genus,Bacillota
Brevibacterium,Actinomycetota
Ralstonia,Pseudomonadota
Cytophaga,Bacteroidota
Alkaliphilus,Bacillota
Niallia,Bacillota
Phycisphaeraceae_genus,Planctomycetota
Thermodesulfovibrionia_genus,Nitrospirota
Brachybacterium,Actinomycetota
SJA-28_genus,Bacteria_phylum
Tundrisphaera,Planctomycetota
Tianweitania,Pseudomonadota
PMMR1,Pseudomonadota
Nannocystis,Myxococcota
Saccharomonospora,Actinomycetota
Paraconexibacter,Actinomycetota
Archangium,Myxococcota
Pseudalkalibacillus,Bacillota
Shinella,Pseudomonadota
Candidatus_Chlorothrix,Chloroflexota
Rickettsiaceae_genus,Pseudomonadota
Aliihoeflea,Pseudomonadota
Verrucomicrobiaceae_genus,Verrucomicrobiota
LWQ8_genus,Patescibacteria
Hydrogenispora,Bacillota
Asticcacaulis,Pseudomonadota
Methylorubrum,Pseudomonadota
Raoultibacter,Actinomycetota
Bacilli_genus,Bacillota
Veillonella,Bacillota
Polycyclovorans,Pseudomonadota
Shimazuella,Bacillota
Burkholderiaceae_genus,Pseudomonadota
Azotobacter,Pseudomonadota
Ammoniibacillus,Bacillota
Filomicrobium,Pseudomonadota
Pediococcus,Bacillota
Holosporaceae_genus,Pseudomonadota
Inquilinus,Pseudomonadota
Sphingorhabdus,Pseudomonadota
T2WK15B57,Bacillota
Cupriavidus,Pseudomonadota
Tepidimicrobium,Bacillota
Prevotellaceae_genus,Bacteroidota
Parcubacteria_genus,Patescibacteria
Singulisphaera,Planctomycetota
Uliginosibacterium,Pseudomonadota
Obscuribacteraceae_genus,Cyanobacteriota
Smaragdicoccus,Actinomycetota
BD7-11_genus,Planctomycetota
Actinokineospora,Actinomycetota
Caldalkalibacillus,Bacillota
Paludibaculum,Acidobacteriota
Ellin516,Verrucomicrobiota
Lachnoclostridium,Bacillota
Cryptosporangium,Actinomycetota
Pseudenhygromyxa,Myxococcota
alphaI_cluster,Pseudomonadota
Virgibacillus,Bacillota
Oligoflexaceae_genus,Bdellovibrionota
LiUU-11-161_genus,Bacteroidota
possible_genus_04,Fibrobacterota
Berkelbacteria_genus,Patescibacteria
Luteolibacter,Verrucomicrobiota
Cellulomonas,Actinomycetota
Sanguibacter,Actinomycetota
Pseudomonadales_genus,Pseudomonadota
Laceyella,Bacillota
Thalassobaculales_genus,Pseudomonadota
Nitratireductor,Pseudomonadota
Parapedobacter,Bacteroidota
Quinella,Bacillota
AB1_genus,Pseudomonadota
Brevibacillus,Bacillota
Desulfofarcimen,Bacillota
Allocatelliglobosispora,Actinomycetota
