"","MS01_1","MS01_2","MS01_3","MS01_4","MS01_5","MS01_6","MS03_1","MS03_2","MS03_3","MS03_4","MS03_5","MS03_6","MS07_1","MS07_2","MS07_3","MS07_4","MS07_5","MS07_6","MS14_1","MS14_2","MS14_3","MS14_4","MS14_5","MS14_6","MS21_1","MS21_2","MS21_3","MS21_4","MS21_5","MS21_6","MS28_1","MS28_2","MS28_3","MS28_4","MS28_5","MS28_6","MS35_1","MS35_2","MS35_3","MS35_4","MS35_5","MS35_6"
"Subgroup_2_genus",1015,8173,0,988,4691,3386,0,0,0,6568,831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16763,0,0,0,10856,0,0,0,0,0,0,0,0,0
"UTCFX1",0,0,0,3224,1253,620,0,2438,4092,6539,1332,1099,4438,1599,1234,0,0,1783,3120,0,66241,0,18115,0,0,0,0,0,0,0,0,44944,18128,0,3116,9716,0,0,0,0,0,0
"Roseiflexaceae_genus",0,769,0,581,2329,0,0,1551,4485,0,261,1184,0,0,740,704,0,1526,1679,0,16499,447,0,0,0,1574,0,4635,0,0,0,0,0,15455,0,0,0,12216,0,0,6911,0
"Skermanella",0,469,0,0,448,736,0,1263,1023,507,0,1060,958,488,1118,0,0,278,780,0,10310,489,0,1134,0,0,1832,0,0,0,0,0,0,0,0,2429,0,0,0,0,0,4609
"Sphingobacterium",64,0,0,0,0,0,328,96,0,124,262,43,0,0,0,963,0,184,246,2156398,63449,1078,1784,0,1325,0,1223,0,0,0,0,627101,0,31278,644,0,0,0,119907,6738,244735,0
"Sphingomonas",345,610,0,1151,364,859,1498,591,1807,1377,645,1278,685,0,0,418,0,0,0,0,0,0,0,0,2391,0,0,0,0,0,0,0,19433,0,0,0,0,0,0,0,0,0
"Xanthobacteraceae_genus",0,3389,0,1118,250,216,0,0,1998,0,0,0,0,4968,0,287,0,0,0,0,13240,0,0,0,0,0,0,0,0,0,0,0,0,0,3125,0,0,0,0,0,0,65433
"Rhodococcus",0,0,0,119,567,109,0,552,144,318,335,332,1918,0,1739,579,0,1648,11142,440856,203814,2583,102516,42845,2086,31038,24651,18929,14101,91399,7082,148884,23206,292741,32022,34502,15494,31754,88354,30173,124667,33024
"Methylobacterium",772,0,0,0,333,289,361,278,218,0,152,125,0,0,287,710,504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus",0,0,0,0,0,0,0,1480,0,0,0,0,0,0,405,1822,0,0,7855,0,8143,23472,8795,7751,18815,813055,0,44408,135881,199113,18665,62922,94854,19846,13169,55607,0,0,127455,0,0,13928
"Savagea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54402,0,10598,0,0,0,3273182,0,0,0
"TK10_genus",159,3843,0,1308,0,0,0,2744,946,618,0,753,691,1825,0,705,0,0,2442,0,35497,0,1994,0,0,0,3038,0,0,10004,0,0,0,0,0,0,0,0,0,0,0,0
"MND1",93,0,1088,407,358,310,475,697,1146,902,0,440,887,497,926,0,0,0,624,17380,0,0,2135,0,0,0,0,0,0,0,0,0,4405,0,0,0,4779,0,0,0,0,0
"JG30-KF-CM45_genus",0,1963,0,1366,536,814,0,1192,2003,0,0,0,3184,1095,3290,0,904,502,2572,32588,17146,0,6514,0,0,1723,3038,0,0,0,4224,0,0,16923,11030,0,0,0,0,0,0,0
"Terriglobales_genus",1015,2943,0,3211,1303,1355,0,0,0,7552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chryseobacterium",0,0,0,0,575,0,0,153,837,0,0,2201,883,467,0,0,0,325,5333,79917,149055,666,1369,1067,0,0,0,0,0,0,0,0,0,3292,0,0,0,0,14013,2686,0,0
"MB-A2-108_genus",180,0,0,1270,0,106,528,1711,4199,175,0,1026,0,0,959,0,0,0,0,0,29153,0,2766,0,0,0,0,0,0,0,0,0,5794,2529,2422,7551,0,0,0,0,0,0
"Verticiella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395523,241384,607365,0,117517,0,0,17432,122872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Terrimonas",597,807,0,610,0,0,0,0,526,1158,0,323,0,1369,0,0,0,0,0,0,0,0,0,3306,0,0,0,0,0,0,0,0,5657,0,0,0,0,0,0,0,0,0
"Cutibacterium",1056,0,0,1079,1139,1127,0,2216,744,1435,346,428,1650,0,0,0,0,4254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ferruginibacter",716,0,0,1568,0,398,0,0,4205,348,0,1110,0,0,0,0,0,0,0,0,0,837,0,0,0,1180,0,0,0,0,0,0,0,0,800,0,0,0,0,0,0,0
"Steroidobacter",0,0,4759,5089,0,0,0,0,2762,1353,0,2356,0,0,0,0,1808,0,0,0,45164,0,0,0,0,9399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UCG-005",465,0,0,170,0,388,0,1131,1637,1128,476,393,0,0,617,0,0,2006,0,0,0,0,0,0,0,23290,0,0,0,0,8608,0,0,0,1558,0,0,0,0,18326,121892,0
"Comamonas",513,0,0,0,226,0,215,660,0,0,0,0,0,841,0,324,0,844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemmata",186,0,544,339,286,0,0,766,573,0,0,252,0,284,185,82,0,0,0,0,0,0,0,0,0,919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chitinophagaceae_genus",0,923,0,435,276,1036,0,0,0,2085,196,0,0,639,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavobacterium",143,0,0,156,385,95,0,107,692,347,0,532,1074,0,0,0,0,342,3082,3913912,124984,0,0,584,0,0,1364,4044,0,0,0,0,3385,17465,1856,0,0,156091,6417,16067,75820,145742
"Paenalcaligenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,557,0,0,0,978,11403,228665,0,0,0,0,55755,592175,104827,251955,38035,388513,2240,566202,27786,167836,1684656,10711,331801,84870
"S085_genus",0,769,0,232,245,531,0,358,2102,926,261,215,967,852,1585,281,0,0,0,0,0,0,886,0,0,0,0,0,0,0,0,0,7542,10257,1600,0,0,0,0,6305,0,0
"UCG-010_genus",662,0,0,424,99,215,0,0,0,313,0,236,0,0,0,0,0,1672,0,0,0,0,0,0,0,14203,0,0,0,0,1162,0,0,0,0,0,0,0,3503,0,0,0
"A4b_genus",0,1635,0,1151,0,106,0,523,1035,1235,0,0,1009,1979,0,528,826,0,0,0,0,0,1662,1302,0,0,0,0,0,0,0,0,14570,0,1067,0,0,0,0,0,0,0
"Loigolactobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1720749,0,0,0,0,0,0,0,0,0,0,0,0
"Solirubrobacter",0,0,0,7125,0,465,0,0,3683,0,285,2827,0,6394,3008,0,0,0,0,32314,53376,3423,0,0,0,0,0,0,23381,0,0,0,0,0,0,0,0,0,0,0,0,0
