"","MS01_1","MS01_2","MS01_3","MS01_4","MS01_5","MS01_6","MS03_1","MS03_2","MS03_3","MS03_4","MS03_5","MS03_6","MS07_1","MS07_2","MS07_3","MS07_4","MS07_5","MS07_6","MS14_1","MS14_2","MS14_3","MS14_4","MS14_5","MS14_6","MS21_1","MS21_2","MS21_3","MS21_4","MS21_5","MS21_6","MS28_1","MS28_2","MS28_3","MS28_4","MS28_5","MS28_6","MS35_1","MS35_2","MS35_3","MS35_4","MS35_5","MS35_6"
"ASV136",0,0,0,0,0,0,0,0,0,0,0,0,1815,0,58,0,0,0,0,0,0,244,23292,2852,0,3290,4918,423,8453,9859,0,7146,0,6769,584,2016,284,21794,0,8787,4189,26303
"ASV154",0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18803,0,0,36658,21263,4511,7734,1565,0,0,127,0,4090,0,0,8868,0,1381,811,10220
"ASV125",0,0,0,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,1978,0,0,9034,0,0,0,155,0,2705,0,33138,63919,2705
"ASV117",0,168,0,0,0,0,0,0,153,0,0,236,908,0,174,0,0,167,1337,5751,65967,2934,970,1426,0,4386,7811,141,1079,313,0,2157,64,462,438,775,0,6764,0,2008,270,4960
"ASV103",0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7088,141,540,0,0,0,64,3692,0,4496,0,42986,0,0,9595,42986
"ASV246",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12033,80511,0,11736,0,0,0,0,6365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV782",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88316,0,0,18318,0,0,0,0,0,0,0,0,0,0,0,146,0,0,0,626,0,0,0
"ASV162",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,59499,0,2600,367,0,0,120,0,8679,0,1619,1565,0,2831,0,615,584,2636,0,7365,0,2259,4054,11874
"ASV278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11031,66819,14370,9169,0,0,0,0,5352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV215",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,91328,0,0,0,0,0,0,0,0,0,313,0,0,0,0,876,0,0,0,0,0,0,6162
"ASV86",0,0,0,0,0,0,191,0,0,0,0,177,303,0,0,0,0,84,0,9037,0,244,0,219,781,1253,2025,1128,11691,21440,1026,0,127,6154,584,4651,0,8567,6576,3013,2838,11723
"ASV48",0,0,0,0,0,0,0,457,0,0,428,177,0,0,0,0,129,0,0,0,0,0,0,69324,0,0,0,12547,0,1565,0,0,0,0,2191,3411,71,0,0,0,135,0
"ASV226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,2878,7825,0,0,0,8923,730,3256,0,27355,0,0,8919,26904
"ASV50",0,0,0,191,0,0,0,0,307,0,0,0,0,0,289,0,0,84,1170,11775,1642,367,41488,1316,0,2977,0,141,1619,0,0,15506,0,462,0,0,71,0,0,0,270,0
"ASV269",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2338,626,121,0,254,33385,438,1550,0,19689,0,0,0,18337
"ASV25",0,4209,87,30725,2013,698,0,0,0,761,642,2650,2421,200,289,0,0,84,7688,6983,4927,0,0,1426,0,0,0,141,4137,0,0,1213,0,308,146,465,71,0,0,0,2703,0
"ASV200",0,0,0,0,0,0,0,0,0,0,0,0,605,0,0,0,0,0,0,0,0,0,0,59452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV894",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15472,0,0,8249,0,0,0,0,0,0,0,0,32764,0,769,0,0,0,0,0,0,0,0
"ASV361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1439,0,0,24270,0,0,146,23411,0,0,0,0,0,0
"ASV413",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47538,0,0,0,0,0,0,0,0
"ASV70",0,0,0,0,0,0,64,0,0,0,0,0,45234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,318,0,0,0,0,0,0,0,0,0
"ASV387",0,0,0,0,0,0,0,0,0,0,0,0,6203,0,231,0,0,0,0,3697,0,0,0,768,0,0,0,0,10432,0,0,18202,0,1385,0,0,0,1954,0,0,0,1653
"ASV195",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1232,0,0,0,219,0,0,1880,0,0,469,0,0,0,2615,0,35349,0,1653,0,1004,0,0
"ASV466",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14698,0,7676,0,0,0,0,0,0,0,0,0,0,0,10371,0,0,0,10972
"ASV267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1755,0,0,0,282,0,0,60,0,0,0,1168,1085,0,14279,4384,0,405,18938
"ASV514",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40940,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV40",0,1599,173,1145,0,465,0,131,844,1184,71,19199,3933,0,752,0,0,334,1838,685,0,0,0,219,0,0,434,0,0,939,0,0,0,0,0,465,71,2555,0,0,676,2405
"ASV1140",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16842,0,0,0,0,0,0,0,0,0,0,0,22112,0,0,0,0,0,0,0,0,0,0
