,meta,bac,fun
106,49.89934888,0.991262893,0.998247273
107,51.87184465,0.999377401,0.997549134
108,50.04308685,0.995836609,0.995805997
109,52.04071172,0.999125659,0.988594021
110,52.83085926,0.99970171,0.999749551
111,53.63046382,0.999295274,0.986441811
112,49.01595816,0.999563029,0.998757032
113,45.35805092,0.99587591,0.994883362
114,56.20952015,0.999169089,0.995725131
115,55.77878374,0.999641879,0.990381204
116,51.87522364,0.998984761,0.999669286
117,57.50117356,0.999976611,0.999523358
118,53.62188182,0.999713805,0.998362954
119,48.25396274,0.999867282,0.996504696
120,54.93331383,0.999218536,0.999614743
121,13.58549109,0.711289516,0.892356651
122,21.35673479,0.730484576,0.794223529
123,35.66197525,0.401292126,0.850405629
124,18.16278501,0.636198727,0.877703567
125,24.75065441,0.627707032,0.830054764
126,27.86028935,0.511903313,0.737294487
127,25.98057317,0.501193117,0.839031642
128,21.10914626,0.548326786,0.854832396
129,29.7430631,0.911586719,0.954157594
130,27.84662505,0.611185901,0.827758595
131,32.17207445,0.795967583,0.878580062
132,30.05560895,0.610254123,0.922814844
133,27.20876197,0.498934007,0.897517455
134,28.3938377,0.62818294,0.894946467
135,37.50950204,0.970287056,0.981375363
136,43.79628593,0.999330988,0.997994295
137,38.91849449,0.995316459,0.997362838
138,43.36167019,0.97785672,0.976166874
139,38.17647522,0.981223752,0.998742132
140,44.40234559,0.988153138,0.977847027
141,45.27805194,0.991429913,0.970544064
142,47.52224964,0.998931108,0.998120266
143,39.91242405,0.994547735,0.994250074
144,47.56075522,0.994616644,0.995721402
145,49.89292685,0.99954771,0.987780344
146,48.0807731,0.996176337,0.986745229
147,49.1748977,0.999131506,0.980550522
148,50.78923361,0.999848948,0.99871972
149,51.42917048,0.999606344,0.964195204
150,47.219316,0.999664513,0.993202808
151,43.99755767,0.996447214,0.983495541
152,53.65907783,0.99953359,0.979487783
153,53.36849174,0.99987653,0.985269589
154,49.21890413,0.999116724,0.997569956
155,55.28683622,0.999958422,0.998635399
156,50.88034972,0.999565878,0.996196276
157,46.57480278,0.999635735,0.986248738
158,52.65101818,0.999235923,0.997712925
159,28.52989173,0.628265226,0.816281342
160,40.57850988,0.717105132,0.96267899
161,21.1202789,0.711857745,0.920500318
162,28.41774208,0.772155504,0.934172674
163,30.89817713,0.699621632,0.858982644
164,29.95706189,0.750905127,0.868929181
165,22.53439567,0.731457539,0.853546102
166,31.17729687,0.963508341,0.979616061
167,30.87737853,0.707380983,0.9310931
168,35.39165383,0.847463016,0.924281885
169,33.33511504,0.65788321,0.716998076
170,28.01219032,0.765257539,0.969048376
171,30.77173549,0.81549104,0.964115951
172,39.94069759,0.987741679,0.995798629
173,46.03753566,0.999719725,0.998923299
174,41.71887732,0.997982601,0.998813352
175,46.32244716,0.99071808,0.998383314
176,40.46691734,0.991097577,0.999946082
177,46.96182131,0.995199633,0.996262495
178,47.49363177,0.995500349,0.985916618
179,51.07926755,0.999224957,0.999753294
180,42.55416806,0.995138342,0.999151861
181,50.68443525,0.997819864,0.99878464
182,52.62545902,0.999646341,0.997047816
183,50.15443424,0.998070237,0.996005847
184,50.89103113,0.999232954,0.994968018
185,53.57858109,0.999870892,0.999633911
186,53.78027245,0.999623246,0.986909641
187,48.66367478,0.999676726,0.998815845
188,45.63128609,0.997533977,0.998234144
189,55.50680388,0.999701752,0.997301619
190,55.51282388,0.999936703,0.995754849
191,51.03108319,0.999638307,0.999785384
192,57.13419417,0.999970285,0.999801383
193,52.36029654,0.999582269,0.999166379
194,49.05723816,0.999697389,0.995499671
195,54.4915196,0.999686677,0.999936117
196,30.85246857,0.753587335,0.604957822
197,19.90321592,0.7317902,0.688236739
198,17.56117662,0.78485398,0.724529731
