Genera,GS01_1,GS01_2,GS01_3,GS01_4,GS01_5,GS01_6,GS03_1,GS03_2,GS03_3,GS03_4,GS03_5,GS03_6,GS07_1,GS07_2,GS07_3,GS07_4,GS07_5,GS07_6,GS14_1,GS14_2,GS14_3,GS14_4,GS14_5,GS14_6,GS21_1,GS21_2,GS21_3,GS21_4,GS21_5,GS21_6,GS28_1,GS28_2,GS28_3,GS28_4,GS28_5,GS28_6,GS35_1,GS35_2,GS35_3,GS35_4,GS35_5,GS35_6
Sutterellaceae_genus,0,2,0,2,3,3,4,1,4,3,3,7,3,1,4,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nordella,4,2,3,2,1,2,1,2,0,6,1,2,4,2,4,2,0,5,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JG30-KF-CM66_genus,5,3,3,3,1,2,1,2,1,2,6,2,4,2,2,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
OM190_genus,3,3,1,4,3,1,2,3,0,2,1,4,4,2,3,2,1,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pedobacter,5,0,1,0,0,0,1,4,2,1,0,1,6,1,7,0,7,1,0,1,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacillaceae_genus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,3,1,0,1,5,7,4,1,8,0,5,0,2,2
Devosia,3,1,1,0,1,5,1,0,5,2,1,0,2,3,2,1,0,2,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0
Albibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0
RB41,1,0,2,5,2,0,6,5,3,5,0,1,2,2,0,2,0,4,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Steroidobacteraceae_genus,1,3,2,4,4,0,2,5,2,6,0,4,0,2,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Adhaeribacter,1,3,2,0,1,2,1,2,3,0,1,2,2,2,6,2,2,3,1,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Anaerolineaceae_genus,4,4,3,4,2,1,3,2,2,4,0,1,4,0,1,3,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oceanobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,8,2,0,1,2,1,0,2,17,0,3,0,2,1
Caldilineaceae_genus,0,4,3,1,2,2,5,1,3,2,2,3,1,0,0,2,0,6,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Flavitalea,1,2,4,1,2,3,4,3,5,2,0,2,0,1,3,1,0,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dyadobacter,0,0,0,0,2,3,1,0,3,0,0,0,0,3,1,2,7,3,1,2,7,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Gemmatimonas,0,1,3,3,0,2,2,2,5,1,1,3,0,2,2,3,1,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Latescibacterota_genus,6,2,1,2,2,0,7,3,1,1,2,2,0,2,2,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitochondria_genus,1,2,1,1,1,5,2,3,0,1,1,4,2,0,4,1,3,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paracoccus,1,0,0,1,0,2,2,0,1,1,2,1,1,3,2,0,2,2,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,1,0,5,0,1,0,3
Stenotrophobacter,0,0,1,3,2,3,3,0,8,3,0,4,2,1,3,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brucella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,4,4,1,4,14,2
CCD24_genus,2,0,3,3,1,0,0,1,3,5,1,4,1,3,1,0,1,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0
Pedomicrobium,3,0,3,1,0,3,2,2,1,3,2,1,3,1,0,1,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Acidimicrobiaceae_genus,0,1,2,1,0,2,0,2,1,1,7,2,1,5,0,2,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SH-PL14,0,4,2,1,2,2,2,2,3,2,2,2,1,1,3,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
KF-JG30-B3_genus,1,2,3,2,3,2,3,1,1,2,2,1,3,0,1,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Litchfieldia,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Aurantisolimonas,2,3,2,2,0,1,2,1,0,1,4,5,0,1,3,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NB1-j_genus,4,1,2,3,1,1,2,5,0,2,1,4,0,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Novosphingobium,0,1,3,3,2,3,3,1,1,1,0,2,2,2,1,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLTA13_genus,1,3,2,0,0,1,4,2,0,2,1,0,2,3,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0
Reyranella,0,2,2,2,1,0,1,4,1,2,3,1,0,0,2,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
Staphylococcus,0,1,0,1,0,0,0,0,0,4,0,0,2,0,16,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2
AKYG587,4,2,4,0,2,1,2,5,0,2,0,0,3,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FFCH7168,0,0,1,2,0,1,3,2,3,2,3,3,0,1,4,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gitt-GS-136_genus,1,2,1,3,0,4,0,2,1,0,0,2,0,2,1,1,0,1,2,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0
Alphaproteobacteria_genus,3,2,1,1,1,1,1,3,0,1,2,0,1,0,2,0,4,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Phenylobacterium,2,1,3,0,3,1,4,0,2,2,0,2,0,0,2,2,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
YC-ZSS-LKJ147,0,0,2,2,0,3,3,1,3,1,1,3,0,1,2,3,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Azospirillales_genus,4,1,1,1,2,3,1,0,1,1,1,3,0,1,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Flavihumibacter,2,2,3,1,6,2,1,2,1,1,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kapabacteriales_genus,0,3,0,0,0,2,0,2,3,1,1,1,3,2,0,2,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Savagea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,14,0,1,0
Sphingobium,0,3,0,1,1,1,2,0,0,1,0,6,3,1,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thermodesulfobacteriota_genus,1,1,3,2,0,2,2,3,1,2,0,1,1,0,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BIrii41_genus,4,0,0,1,3,1,0,0,2,2,2,1,2,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKYH767_genus,2,3,1,2,0,3,3,2,1,1,1,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Alysiosphaera,1,2,1,2,1,1,1,1,2,1,1,2,1,1,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Hyphomicrobium,0,0,2,0,0,1,1,2,1,1,2,2,2,1,2,3,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Ilumatobacter,3,2,2,1,0,2,1,1,0,2,1,1,2,0,0,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pararhizobium,4,0,0,2,2,4,4,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pedosphaeraceae_genus,6,0,2,3,1,4,0,1,0,0,1,1,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudolabrys,1,2,2,1,3,2,0,1,3,0,0,1,1,0,1,2,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aridibacter,1,1,3,1,0,1,0,1,5,0,1,5,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus_Solibacter,2,0,3,2,1,2,3,1,1,5,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desertimonas,0,0,3,1,1,1,1,2,3,2,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Kribbella,3,0,1,2,0,0,1,0,3,2,2,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mesorhizobium,1,2,0,2,0,0,0,1,2,3,1,1,0,1,4,0,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Enteractinococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,7,0,5,2,5
Microtrichales_genus,2,1,2,0,2,2,1,1,0,0,2,3,0,0,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Thermoleophilia_genus,0,0,3,3,0,0,0,3,2,2,3,2,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Elsterales_genus,4,2,0,1,0,1,1,1,1,1,4,1,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oligoflexus,0,0,0,2,2,2,0,0,2,0,1,0,3,0,2,2,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
