#OTU ID,BS00_1,BS00_2,BS00_3,BS00_4,BS00_5,BS00_6,BS01_1,BS01_2,BS01_3,BS01_4,BS01_5,BS01_6,BS03_1,BS03_2,BS03_3,BS03_4,BS03_5,BS03_6,BS07_1,BS07_2,BS07_3,BS07_4,BS07_5,BS07_6,BS14_1,BS14_2,BS14_3,BS14_4,BS14_5,BS14_6,BS21_1,BS21_2,BS21_3,BS21_4,BS21_5,BS21_6,BS28_1,BS28_2,BS28_3,BS28_4,BS28_5,BS28_6,BS35_1,BS35_2,BS35_3,BS35_4,BS35_5,BS35_6,GS01_1,GS01_2,GS01_3,GS01_4,GS01_5,GS01_6,GS03_1,GS03_2,GS03_3,GS03_4,GS03_5,GS03_6,GS07_1,GS07_2,GS07_3,GS07_4,GS07_5,GS07_6,GS14_1,GS14_2,GS14_3,GS14_4,GS14_5,GS14_6,GS21_1,GS21_2,GS21_3,GS21_4,GS21_5,GS21_6,GS28_1,GS28_2,GS28_3,GS28_4,GS28_5,GS28_6,GS35_1,GS35_2,GS35_3,GS35_4,GS35_5,GS35_6,MS01_1,MS01_2,MS01_3,MS01_4,MS01_5,MS01_6,MS03_1,MS03_2,MS03_3,MS03_4,MS03_5,MS03_6,MS07_1,MS07_2,MS07_3,MS07_4,MS07_5,MS07_6,MS14_1,MS14_2,MS14_3,MS14_4,MS14_5,MS14_6,MS21_1,MS21_2,MS21_3,MS21_4,MS21_5,MS21_6,MS28_1,MS28_2,MS28_3,MS28_4,MS28_5,MS28_6,MS35_1,MS35_2,MS35_3,MS35_4,MS35_5,MS35_6
ASV21,5167,2839,13166,338,14057,2458,1711,0,0,0,0,0,35020,0,0,0,996,0,0,0,3000,0,0,0,0,420,342,670,0,1401,0,0,44939,0,0,0,101645,0,1002,3828,337,7780,8111,2825,168911,561,0,2030,4622,49735,6958,519,3051,13261,100799,3442,6458,12665,2962,3065,24072,1262391,988078,11578,50681,8829716,19472111,9374493,4821926,633121,592009,175015,245321,12150,3954742,50781,264334,18641,181598,0,23182,6656,36489,17586,13285,30102,104152,1679,89176,5500,0,0,0,0,0,0,0,522,0,0,2783,0,8623,0,22908,0,0,8273,669,35600,63914,1100,8094662,4607,240,157,9257,141,1079,313,60,31685,64,12000,292,0,0,9469,5950,43933,10676,10521
ASV22,0,0,1688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,0,0,0,0,0,0,0,335,0,0,2489,0,0,11430,8143,2515,0,0,1336,696,0,2368,0,0,0,7855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331320,0,0,0,0,0,0,0,11941415,0,0,60125528,0,3571023,0,0,0,0,3915167,0,0,0,922649,27258,0,0,22885456,2519,0,7156,0,0,0,0,0,0,0,65,153,0,0,0,0,0,0,0,2777,0,0,0,3162318,0,0,4607,180,750705,2025,282,2698,782,121,6607,0,18000,0,310,0,0,3914,0,1892,0
ASV23,0,0,0,0,0,0,0,0,0,546007,0,706,0,0,0,0,0,0,3199,13082,0,330,876518,6858136,0,0,0,0,0,0,1576133,0,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,338,1849,0,0,9336,436,1206,0,0,12916,3546,0,1751,0,1267,6564,1007,71158,1189176,0,0,0,0,0,0,47392,0,8243,0,0,0,0,0,2107,0,0,0,719600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV24,23828,3903,364936,7092,133207,94809,44064,4900,2942,4919,7598,1413,861353,4645,417,2746,198479,1704,7465,650444,109714,432866,110019,37735,4807,0,4104,60985,2429,178958,21989,2858131,156388,140120,6000,10478,636155,46278,13022,100574,12139,33487,268022,540349,744536,49095,50589,47704,85042,118599,99025,66386,360049,133213,390904,35277,185519,181358,63050,50791,395658,366296,463998,86587,318933,746001,147624,157747,175174,1775608,44024,836451,0,26036,10304,0,0,40671,2162,76249,0,11094,0,190808,0,60714,35456,9236,8043,0,0,0,779,318,0,116,0,0,537,169,357,118,756,67,58,1464,0,4847,3343,3834,7391,611,8613,219,0,313,723,0,180,156,0,0,127,0,0,155,142,451,0,377,405,1353
ASV25,28995,2839,46250,27018,14726,54427,34652,8050,15969,119948,5871,0,254904,26210,417,2746,157987,14652,18664,43956,72429,284172,24391,49982,1479,0,36598,34179,9023,30819,24893,623331,38947,148163,13714,37719,145807,8989,14358,171916,17534,27737,95571,164930,89177,69855,18549,24698,345253,655057,146664,352676,668227,232670,441303,85181,226614,238602,149797,167260,1384365,122521,597290,310102,922500,376203,209954,157747,93968,655241,41707,401931,11151,4050,49460,74420,19896,0,0,127082,16860,13312,3475,130137,26570,0,0,0,0,0,0,4209,87,30725,2013,698,0,0,0,761,642,2650,2421,200,289,0,0,84,7688,6983,4927,0,0,1426,0,0,0,141,4137,0,0,1213,0,308,146,465,71,0,0,0,2703,0
ASV26,108230,55002,70219,42216,91705,61099,122351,74899,155492,129407,33498,33911,193282,76972,34199,61090,98576,80416,132246,125589,105429,40974,135448,192646,48808,96620,62250,74054,80162,104013,104965,120196,126429,54609,68143,89268,127932,30297,117202,162172,67439,44988,221823,154335,40217,21602,68126,201979,191807,169184,180921,148332,107230,137432,325753,168210,360470,173759,137948,219365,259979,210399,162576,232073,116720,113560,0,0,0,0,89207,196741,55755,17358,94798,122574,51161,83884,60533,505506,50579,37719,40833,86172,112922,25000,0,12595,22382,3193,0,1094,0,191,0,0,191,0,997,0,0,236,1059,0,289,0,0,0,0,8079,2600,489,0,0,120,0,579,0,0,469,0,6202,0,923,0,0,0,0,0,126,0,0
ASV27,0,0,0,3377,0,0,0,1050,0,1514,0,0,0,0,0,0,0,0,0,0,857,0,0,0,0,0,684,0,0,0,0,0,5992,0,0,0,0,666,0,0,0,0,0,0,1311419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2189,0,0,0,5034,7167,0,0,0,0,0,50975,392275,0,205397,27813029,1349191,0,0,0,429256,0,0,0,0,13285,0,117819991,0,0,385393,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,2066,167,0,0,0,0,0,0,0,5170,111813,2961,3417,313,0,19955,0,0,0,0,1280,16984,49635,3013,61081,24950
ASV28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16726,0,0,252152,372342,510931,1117693,81898,147522,128687,2542931,49241,296697,13285222,1830423,290529,315440,416736,0,0,87,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,611,0,0,0,0,3472,0,0,4069,724,0,254,356308,2045,2636,498,5261,892797,628,2568,6914
ASV29,69761,24485,70219,59102,60914,83573,97966,24150,117670,182002,6562,36384,76774,47776,64644,10296,79325,34074,163174,70120,126000,59147,130258,72491,44371,101241,50279,31163,55870,54283,59743,77600,112647,87628,113143,215418,68698,15648,53091,113451,29336,33826,1130277,70987,116104,21321,27318,73078,52689,61637,62091,62756,101999,84388,63307,67542,56947,59271,77860,80127,560224,73935,538722,305068,255966,263226,6888012,5613722,2597448,6321044,673106,1880507,662087,13307,2448272,13174092,62531,1521777,8648,110138,4215,15531,5213,7034,44283,42347,1421200,840,0,1597,0,0,0,0,0,116,0,0,0,85,71,0,908,0,0,0,0,0,24735,52853,114827,7579,163162,2413,60,27885,30521,21006,6115,3286,60,1888,0,5385,292,775,0,3156,0,3138,7027,5862
ASV30,0,0,0,0,0,0,0,0,7144,4162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1109,31506,0,0,0,0,0,0,0,19896,6429,0,0,1665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1492748,0,0,0,0,1416032,0,0,0,499551,0,0,0,0,821205,0,450739,0,0,0,0,0,58,0,0,0,0,0,1119,0,0,0,0,0,752,0,0,0,0,0,592102,0,121880,0,0,0,0,0,0,0,0,30672,0,0,635170,0,0,0,651553
ASV31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338,0,0,1749,0,0,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3072,0,56862,0,0,0,0,182257,0,2893,0,0,10090178,3140147,1632220,4879964,143307,17750,96435,452840,205916,10354096,14027333,21832,9792,77232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1369,0,122,1092,658,0,313,0,705,15108,6103,7904,1192989,1715,115231,876,86822,142,222295,18476,246653,21892,228006
