Genera,GS01_1,GS01_2,GS01_3,GS01_4,GS01_5,GS01_6,GS03_1,GS03_2,GS03_3,GS03_4,GS03_5,GS03_6,GS07_1,GS07_2,GS07_3,GS07_4,GS07_5,GS07_6,GS14_1,GS14_2,GS14_3,GS14_4,GS14_5,GS14_6,GS21_1,GS21_2,GS21_3,GS21_4,GS21_5,GS21_6,GS28_1,GS28_2,GS28_3,GS28_4,GS28_5,GS28_6,GS35_1,GS35_2,GS35_3,GS35_4,GS35_5,GS35_6
Stagonosporopsis,21723,9352,5353,15040,59282,18083,12293,0,0,8105,30467,33277,669642,124211,62102,12082,119280,0,0,0,60325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8793,0,12245,0,0,0,0
Orbiliaceae_gen_Incertae_sedis,30042,37407,35328,40454,49257,163954,57774,41730,137378,52179,33429,144930,10942,45628,52509,26680,18430,53577,56862,0,17401,49621,5793,14484,0,0,12365,0,0,22877,0,45185,0,0,0,5276,6642,2041,0,840,0,0
Tetracladium,42521,51010,57809,56532,50564,52442,103257,30545,7045,34448,28350,61300,89723,37179,40896,58396,41467,52995,36086,12574,89907,0,5793,0,4182,1736,14426,35021,2842,15252,0,19768,0,0,0,879,24356,4592,0,0,1399,118
Cyphellophora,10168,9352,11241,9336,25717,83786,39950,13336,65166,11145,15657,51229,7003,98018,72704,21143,10751,74542,28431,18289,107308,136908,5793,14484,4182,0,0,31519,2842,12710,0,104490,10537,0,0,18465,0,11224,0,5038,1749,0
Sarocladium,924,1275,1071,0,0,3014,7376,1291,4696,4559,2962,876,6128,3379,0,2517,0,1165,0,106307,30162,0,61402,156910,22302,5786,383315,70042,0,117777,0,16944,0,0,0,3517,0,2551,120403,840,0,0
Chaetomium,1386,6801,535,0,0,12658,2459,860,0,0,0,0,8753,6760,16662,24164,2048,0,0,0,73086,836389,0,0,0,1736,35034,0,0,0,0,0,0,4437,0,2638,0,0,92334,0,0,0
Mrakia,31429,68014,19269,31637,67563,56660,349724,7743,17612,21784,32583,14887,48144,19857,42916,27184,5631,15141,0,0,34223,65165,0,7242,0,0,0,0,0,0,6486,0,4215,0,0,36930,0,0,23637,0,0,0
Vishniacozyma,17563,59937,9101,20227,54488,39783,66381,4732,15263,62311,34274,15764,99353,63372,78763,24163,51193,21547,28431,30863,30162,0,0,106216,0,0,0,0,0,0,2162,8472,6322,0,0,879,0,8673,0,0,1049,0
Crocicreas,48067,175560,26228,19189,38359,142254,12293,2151,3523,4559,12695,6130,31950,3802,112086,52859,34811,5241,50301,0,55684,0,9268,94146,0,0,0,0,0,0,0,5648,0,0,0,0,0,0,0,0,0,0
Cystofilobasidium,18487,62487,49780,41491,22231,37975,50399,18499,49315,41033,55433,66554,49020,23237,48975,22654,19454,20383,0,0,38863,0,3476,21726,2788,0,26791,0,0,6779,0,0,2107,6656,1738,30775,0,4592,0,3359,350,177
Sympoventuriaceae_gen_Incertae_sedis,15252,6377,10170,3112,19180,31947,7375,3011,18200,5066,6347,19266,11817,34644,76239,3020,19454,55324,77639,0,12761,72937,0,26554,2788,0,0,0,8527,3389,2162,16944,2107,0,0,255878,0,0,0,1679,0,0
Minimedusa,78572,12327,1071,74684,28333,91019,71297,34847,17613,66363,19465,91511,3939,31264,13632,10572,32252,4659,0,0,0,0,26646,0,0,0,0,0,0,0,0,16944,0,31062,2606,59793,0,0,0,0,0,0
Coprinellus,3235,3826,6959,11410,11333,39180,6146,5592,12328,11145,10578,7005,51646,31687,0,10572,13311,0,0,0,0,315664,0,0,0,579,94798,0,0,11015,0,0,4214,17750,0,10552,0,121939,0,0,0,0
Leptosphaeria,7395,9777,3747,5186,20923,14466,8605,3441,5871,10132,9733,72247,25386,41403,291324,56886,33787,8735,0,0,0,135114,0,0,2788,4050,0,8755,0,9320,2162,0,2107,0,0,7914,0,0,0,840,0,0
Bacillicladium,33740,8502,42286,22820,7846,19892,52243,17638,152055,60790,28775,21017,25385,18589,19691,41783,9215,70465,0,0,38863,0,10427,16898,0,0,8243,0,8527,0,2162,0,8430,4437,13032,20224,0,0,0,13435,0,532
Phomatospora,18950,11477,52456,47196,31384,27125,49170,21940,89237,39514,15234,70056,12255,69288,16157,14096,3584,0,21870,0,26102,0,5793,19312,0,3471,10304,0,11369,12710,0,28241,6322,15531,6950,6155,15499,6122,0,0,5595,473
Kernia,4160,1275,4282,47715,1308,7837,8605,2151,5871,0,150220,10071,0,11830,7573,0,0,6988,0,0,0,0,0,0,32059,13886,0,0,0,426199,0,0,0,0,0,879,26570,0,0,0,0,0
Acrostalagmus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7626,0,0,0,0,0,0,0,0,737192,0,0,532
Lentitheciaceae_gen_Incertae_sedis,12017,59937,16058,1556,3487,22905,25200,34416,110372,9625,3808,37217,10942,7605,49985,13592,12798,224790,0,0,0,72937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8673,0,0,0,0
Hebeloma,30967,25080,70121,5187,1744,31345,27044,19789,1174,13171,55010,4379,38078,8450,20196,8558,2560,6406,0,43437,60325,104026,0,32589,0,0,65947,0,0,18641,2162,0,0,0,0,1759,11071,0,0,0,1399,3075
Pseudocoleophoma,48067,23806,11241,10890,51000,75950,14136,6023,51664,23303,7617,31526,8754,13519,76743,26178,32251,128701,0,0,8701,0,0,24140,0,0,0,0,0,0,2162,19768,6322,0,0,5276,0,2551,0,0,0,237
Neosetophoma,9706,9352,9099,10891,46205,12056,27044,12046,35813,35462,30890,10946,50771,42671,149953,5538,19965,64642,0,0,55684,0,33597,0,0,0,0,0,0,0,0,14120,2107,4437,0,5276,0,6122,0,0,0,0
Bisifusarium,0,6801,1071,3630,37487,93430,5532,1291,587,3040,13118,313503,3501,6337,12622,3524,0,0,0,0,0,0,0,54315,0,0,18548,12257,0,49144,0,0,0,0,10425,38689,0,0,11819,0,0,237
Lobulomycetales_gen_Incertae_sedis,33739,25931,23552,19709,10898,39180,35649,31834,63406,33941,50355,88885,56022,19434,21206,15605,4608,31447,42647,0,12761,0,0,14484,2788,0,0,0,0,0,0,0,2107,0,0,2638,0,2041,0,0,0,0
Trichothecium,21261,11477,1071,3112,10026,33153,46097,8174,10568,35461,2539,14011,0,422,11613,2014,0,13977,98416,0,85847,49621,0,21726,0,0,30913,129578,0,0,0,16944,6322,2219,0,1759,0,0,0,0,1749,0
Calloriaceae_gen_Incertae_sedis,11092,3401,1071,3112,3488,57866,7990,2581,23483,13678,846,4378,5690,12675,20701,2014,5631,130448,0,0,51624,241530,0,32589,0,0,0,0,0,0,0,0,0,0,0,0,0,10204,0,0,0,0
Cephaliophora,8318,7651,6423,2075,6974,16878,7376,3011,7045,8105,25812,9195,50332,7182,38877,12586,7167,8735,63424,18289,81206,17338,3476,0,12545,3472,32973,37648,22738,0,0,36713,0,0,1738,6156,0,2041,63526,2519,0,0
Rozellomycota_gen_Incertae_sedis,8319,4250,67977,37861,44027,63897,15982,3441,75734,19757,49933,63052,25823,8449,20700,14096,9215,29700,0,0,0,0,3476,21726,1394,2314,0,0,5685,0,2162,8472,6322,2219,9557,1759,0,3571,0,1679,3847,118
GS11_gen_Incertae_sedis,1386,3401,38539,9854,1744,0,3074,1721,1174,11145,1269,2627,0,2112,2524,503,218595,13394,0,0,8701,72937,0,123114,2788,579,4122,0,0,0,0,0,2107,2219,869,86172,0,8163,0,840,1399,0
Ascobolus,10168,14028,59950,1038,8283,56058,4917,3441,1761,6079,24543,14450,137868,20279,127233,16110,2560,19800,0,0,47564,25110,0,0,0,0,0,12257,0,0,0,8472,0,0,0,1759,0,0,0,0,0,0
Ochroconis,8781,15728,18200,28525,21795,24714,33804,9464,53424,15198,27083,51667,10941,22814,18177,16613,5632,135690,42647,0,21462,0,0,30175,0,0,0,0,0,0,0,0,0,0,0,7913,0,0,0,0,0,0
Fusariella,12479,3826,1071,519,0,11453,6761,13336,18200,0,846,7005,14881,8450,94415,2014,0,57071,160746,43437,26102,0,4634,49487,4182,0,0,8755,0,15252,0,0,0,0,0,2638,0,6122,0,0,0,0
Beauveria,158067,21679,11776,7261,21795,12659,11678,5162,20548,23303,6771,44661,5252,16899,22215,4531,13311,57071,0,0,0,25110,9268,12070,0,0,0,0,0,11015,0,0,0,0,0,0,39855,0,0,0,2098,355
Clonostachys,5546,4251,19805,8299,3487,3617,35034,50764,27593,18237,4655,0,16632,1267,2524,11578,12798,33195,0,0,34223,0,4634,0,8363,0,0,0,0,140654,0,0,0,0,0,879,0,0,104152,0,1399,0
