"","x"
"Com_8677_pos",1.27486976047881
"Com_10494_pos",1.01470136882823
"Com_16573_pos",1.22872947548734
"Com_16648_pos",1.11631816703354
"Com_20823_pos",1.11334957917956
"Com_35013_pos",1.02035441438075
"Com_63104_pos",1.11413129924369
"Com_13_pos",1.4121510011916
"Com_23_pos",1.45457751250357
"Com_28_pos",1.14310047281925
"Com_53_pos",1.23347430863199
"Com_80_pos",1.07461389029908
"Com_101_pos",1.09624280408306
"Com_102_pos",1.7058165147535
"Com_109_pos",1.20405307905012
"Com_132_pos",1.17589872621217
"Com_169_pos",1.12822181210276
"Com_173_pos",1.26698224192486
"Com_190_pos",1.40756866396002
"Com_568_pos",1.09719423333504
"Com_573_pos",1.15920506767593
"Com_616_pos",1.42469175378765
"Com_770_pos",1.08792471006866
"Com_944_pos",1.05873519854764
"Com_1057_pos",1.3983255387638
"Com_1384_pos",1.47807512419657
"Com_1621_pos",1.16020137300347
"Com_1826_pos",1.36095319405815
"Com_1948_pos",1.11773096921207
"Com_2003_pos",1.05078683896276
"Com_2506_pos",1.05298355658146
"Com_2746_pos",1.25212374700806
"Com_2780_pos",1.11529500733714
"Com_3294_pos",1.38565475393942
"Com_3607_pos",1.04583197620076
"Com_4664_pos",1.22179010742532
"Com_7593_pos",1.10979711479501
"Com_16567_pos",1.36071677501391
"Com_18180_pos",1.19716770148174
"Com_22928_pos",1.1268314683664
"Com_10_pos",1.17844826973463
"Com_24_pos",1.34244000759495
"Com_41_pos",1.03799371497505
"Com_70_pos",1.23011221357963
"Com_71_pos",1.07920308711478
"Com_115_pos",1.02865762094988
"Com_366_pos",1.28244393476092
"Com_470_pos",1.17075729918693
"Com_502_pos",1.22006670668904
"Com_569_pos",1.1329469071373
"Com_956_pos",1.4705171025937
"Com_997_pos",1.15896438051771
"Com_1089_pos",1.2530860786316
"Com_1095_pos",1.00402937343188
"Com_1175_pos",1.38486105989949
"Com_1321_pos",1.13612171020093
"Com_1393_pos",1.45898217167172
"Com_1524_pos",1.24332391277978
"Com_1548_pos",1.02330231926928
"Com_1553_pos",1.12873780866304
"Com_1583_pos",1.20962819968631
"Com_1731_pos",1.03341702175177
"Com_1833_pos",1.35511818320401
"Com_2110_pos",1.27592125024789
"Com_2144_pos",1.05804868959251
"Com_2146_pos",1.30380007000391
"Com_2202_pos",1.35233280522577
"Com_2375_pos",1.20137664055289
"Com_2509_pos",1.1724510605197
"Com_2561_pos",1.45986602910877
"Com_2592_pos",1.10623309007709
"Com_3006_pos",1.33970463421579
"Com_3169_pos",1.09409687584303
"Com_3195_pos",1.28055357891822
"Com_3267_pos",1.01454037423445
"Com_3298_pos",1.0489678953554
"Com_3422_pos",1.04440119732092
"Com_3468_pos",1.07064787860196
"Com_3485_pos",1.08507333583897
"Com_3630_pos",1.520068866735
"Com_4041_pos",1.24666688113773
"Com_4090_pos",1.11148240855516
"Com_4209_pos",1.12736815519462
"Com_4224_pos",1.21784178660266
"Com_4225_pos",1.21577095363912
"Com_4311_pos",1.04478190790089
"Com_4420_pos",1.08986363552504
"Com_4652_pos",1.0652440287449
"Com_4755_pos",1.25012520466524
"Com_4860_pos",1.1546334753409
"Com_5164_pos",1.00165429799758
"Com_5437_pos",1.28050957384469
"Com_5451_pos",1.2426530743852
