ID,BS00_1,BS00_2,BS00_3,BS00_4,BS00_5,BS00_6,BS01_1,BS01_2,BS01_3,BS01_4,BS01_5,BS01_6,BS03_1,BS03_2,BS03_3,BS03_4,BS03_5,BS03_6,BS07_1,BS07_2,BS07_3,BS07_4,BS07_5,BS07_6,BS14_1,BS14_2,BS14_3,BS14_4,BS14_5,BS14_6,BS21_1,BS21_2,BS21_3,BS21_4,BS21_5,BS21_6,BS28_1,BS28_2,BS28_3,BS28_4,BS28_5,BS28_6,BS35_1,BS35_2,BS35_3,BS35_4,BS35_5,BS35_6,GS01_1,GS01_2,GS01_3,GS01_4,GS01_5,GS01_6,GS03_1,GS03_2,GS03_3,GS03_4,GS03_5,GS03_6,GS07_1,GS07_2,GS07_3,GS07_4,GS07_5,GS07_6,GS14_1,GS14_2,GS14_3,GS14_4,GS14_5,GS14_6,GS21_1,GS21_2,GS21_3,GS21_4,GS21_5,GS21_6,GS28_1,GS28_2,GS28_3,GS28_4,GS28_5,GS28_6,GS35_1,GS35_2,GS35_3,GS35_4,GS35_5,GS35_6,MS01_1,MS01_2,MS01_3,MS01_4,MS01_5,MS01_6,MS03_1,MS03_2,MS03_3,MS03_4,MS03_5,MS03_6,MS07_1,MS07_2,MS07_3,MS07_4,MS07_5,MS07_6,MS14_1,MS14_2,MS14_3,MS14_4,MS14_5,MS14_6,MS21_1,MS21_2,MS21_3,MS21_4,MS21_5,MS21_6,MS28_1,MS28_2,MS28_3,MS28_4,MS28_5,MS28_6,MS35_1,MS35_2,MS35_3,MS35_4,MS35_5,MS35_6
ASV21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,1,4,0,0,16,0,3,3,4,5,0,0,2,5,6,3,5,7,8,8,22,9,32,3,23,32,42,4,26,10,3,18,50,51,40,22,28,23,34,0,0,0,0,0,13,29,4,44,11,8,16,2,12,2,15,13,4,6,3,2,0,16,21,0,5,1,3,5,4,1,2,2,5,2,3,0,3,2,3,0,5
ASV22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,93,41,15,144,22,1,91,0,124,0,12,0,9,0,0,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56,0,0,0,0,0,0,2,1,4,0,0,1,1,0,8,0,2,1,0,2,2
ASV23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,7,162,28,0,0,0,114,0,126,0,0,13,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,0,2,0,0,0
ASV24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,81,3,0,14,5,13,1,10,7,16,28,1,2,0,3,72,157,0,18,7,1,10,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,11,3,0,0,1,0,0,0,0,35,0,1,0,0,0,2,9,0,0,0,0,0,18,1
ASV25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,3,2,4,1,2,1,18,18,9,21,14,7,16,26,19,8,5,12,39,20,22,10,56,47,23,23,17,8,2,4,0,4,0,2,1,2,0,0,3,0,0,0,0,0,0,0,0,0,21,1,22,14,4,29,5,38,11,22,4,6,194,3,5,0,11,1,0,26,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ASV26,9,12,12,12,15,11,11,10,9,15,17,12,9,15,12,16,14,10,10,6,11,7,9,11,10,8,8,4,14,16,8,6,8,12,10,9,10,7,8,5,10,11,8,12,8,14,9,15,8,12,7,10,8,7,10,11,7,9,6,1,4,3,6,8,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,2,8,0,7,7,1,11,0,3,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,29,205,6,0,6,0,3,7,1,0,6,8,0,1,0,1,4,3,0,5,0,2,0,2,4,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,223,18,15,37,15,68,82,0,11,15,2,0,35,99,0,14,0,0,0,0,0,3,0,98,2,0,0,50,0,1,12,1,6,1,0,2,0,0,0,0
ASV28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,2,4,10,6,4,28,9,112,48,88,45,59,11,78,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
ASV29,6,4,7,5,6,4,5,4,7,8,6,5,11,9,7,4,5,6,18,12,9,8,9,6,9,3,6,6,5,10,12,7,3,2,11,6,11,9,8,12,4,3,13,12,5,12,4,7,3,8,9,7,11,5,7,8,9,9,9,16,11,6,2,7,9,7,3,0,2,6,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,84,104,0,0,0,0,4,22,5,0,48,0,0,1,0,125,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,1,5,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0
