OTUId,BS00_1,BS00_2,BS00_3,BS00_4,BS00_5,BS00_6,BS01_1,BS01_2,BS01_3,BS01_4,BS01_5,BS01_6,BS03_1,BS03_2,BS03_3,BS03_4,BS03_5,BS03_6,BS07_1,BS07_2,BS07_3,BS07_4,BS07_5,BS07_6,BS14_1,BS14_2,BS14_3,BS14_4,BS14_5,BS14_6,BS21_1,BS21_2,BS21_3,BS21_4,BS21_5,BS21_6,BS28_1,BS28_2,BS28_3,BS28_4,BS28_5,BS28_6,BS35_1,BS35_2,BS35_3,BS35_4,BS35_5,BS35_6,GS01_1,GS01_2,GS01_3,GS01_4,GS01_5,GS01_6,GS03_1,GS03_2,GS03_3,GS03_4,GS03_5,GS03_6,GS07_1,GS07_2,GS07_3,GS07_4,GS07_5,GS07_6,GS14_1,GS14_2,GS14_3,GS14_4,GS14_5,GS14_6,GS21_1,GS21_2,GS21_3,GS21_4,GS21_5,GS21_6,GS28_1,GS28_2,GS28_3,GS28_4,GS28_5,GS28_6,GS35_1,GS35_2,GS35_3,GS35_4,GS35_5,GS35_6,MS01_1,MS01_2,MS01_3,MS01_4,MS01_5,MS01_6,MS03_1,MS03_2,MS03_3,MS03_4,MS03_5,MS03_6,MS07_1,MS07_2,MS07_3,MS07_4,MS07_5,MS07_6,MS14_1,MS14_2,MS14_3,MS14_4,MS14_5,MS14_6,MS21_1,MS21_2,MS21_3,MS21_4,MS21_5,MS21_6,MS28_1,MS28_2,MS28_3,MS28_4,MS28_5,MS28_6,MS35_1,MS35_2,MS35_3,MS35_4,MS35_5,MS35_6
ASV23,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,0,3,3,0,0,183,845,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,6,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV24,4,3,109,3,41,53,17,0,1,4,9,0,112,3,0,0,36,2,2,67,25,108,13,5,7,0,0,19,1,36,4,172,16,29,1,1,53,13,2,12,1,8,33,25,159,9,16,6,19,18,23,22,69,21,53,8,18,38,10,8,11,55,11,10,21,16,0,0,0,2,0,8,0,1,0,0,0,0,0,0,0,0,0,10,0,1,0,2,0,0,18,0,88,13,0,5,0,0,25,9,16,1,1,6,0,263,0,227,3,0,2,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,3,0,0,0,0,0
ASV25,5,3,20,19,2,21,7,4,6,33,7,0,29,11,0,1,26,3,3,5,15,64,2,3,0,0,25,9,2,8,6,35,5,34,7,12,11,6,2,20,4,5,19,10,17,17,2,5,55,117,32,70,130,37,50,20,16,47,25,43,36,17,6,21,52,9,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,5,0,0,0,0,0,0,0,279,6,1075,272,78,5,0,0,52,14,52,3,27,8,0,0,6,3,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,5,0
ASV26,31,42,18,27,30,26,25,53,50,30,22,15,22,33,13,57,31,43,25,22,24,9,25,21,32,13,31,20,17,26,23,7,15,6,10,23,10,3,25,25,24,17,14,8,13,5,16,23,29,22,49,22,19,25,42,51,34,32,31,42,5,20,4,16,5,1,0,0,0,0,0,1,1,2,0,0,1,2,1,2,8,3,1,3,0,0,0,1,0,1,0,73,0,3,0,0,24,0,36,0,0,5,4,0,6,0,0,0,0,2,1,0,0,0,5,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0
ASV27,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,14,194,5,0,0,0,1,0,0,0,0,0,0,318,0,0,71,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,60,7,0,0,0,0,0,0,0,0,119,4,1,2,1,3,0,0,0,0,8,7,29,2,111,2
ASV28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,5,31,0,15,4,58,1,2,272,5,21,26,72,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,21,0,8,238,4,6,6,1,683,2,6,1
ASV29,23,24,23,51,25,50,21,17,35,54,5,17,7,29,22,7,19,12,49,12,31,9,18,10,27,16,30,10,11,9,15,7,17,20,21,48,2,3,11,15,9,11,104,4,26,7,3,9,8,12,8,12,13,9,9,17,4,9,11,14,12,6,12,16,14,10,15,9,4,14,4,6,24,0,16,43,0,21,0,1,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,9,0,0,0,9,3,0,2,0,0,1,0,0,14,3,14,14,10,7,2,6,25,29,3,12,1,0,0,5,0,5,0,2,0,4,4,2
ASV30,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,21,0,0,0,10,0,0,0,0,74,0,90,0,0,0,0,0,7,0,0,0,0,0,24,0,0,0,0,0,38,0,0,0,0,0,812,0,43,0,0,0,0,0,0,0,0,99,0,0,103,0,0,0,81
ASV31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202,28,35,22,10,0,2,24,1,203,46,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,1,8,21,207,131,82,72,1,218,2,31,15,245,27,43
ASV32,0,2,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,3,3,1,1,3,0,2,2,0,4,4,0,0,0,4,0,9,4,0,4,16,38,63,23,11,43,38,72,1,555,0,22,0,2,0,11,9,17,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,3,5,4,0,13,42,11,28,13,24,18,0,0,21,2,19,0,0,65,0,7,2,71
